Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,LoanAmount_log,ApplicantIncome_log
LP001002,1,0,0,1,0,5849,0.0,146.41216216216216,360.0,1.0,1,1,4.986425672954842,8.674025985443025
LP001003,1,1,1,1,0,4583,1508.0,128.0,360.0,1.0,0,0,4.852030263919617,8.430109084509125
LP001005,1,1,0,1,1,3000,0.0,66.0,360.0,1.0,1,1,4.189654742026425,8.006367567650246
LP001006,1,1,0,0,0,2583,2358.0,120.0,360.0,1.0,1,1,4.787491742782046,7.8567067930958405
LP001008,1,0,0,1,0,6000,0.0,141.0,360.0,1.0,1,1,4.948759890378168,8.699514748210191
LP001011,1,1,2,1,1,5417,4196.0,267.0,360.0,1.0,1,1,5.58724865840025,8.597297435657898
LP001013,1,1,0,0,0,2333,1516.0,95.0,360.0,1.0,1,1,4.553876891600541,7.75491027202143
LP001014,1,1,3,1,0,3036,2504.0,158.0,360.0,0.0,2,0,5.062595033026967,8.01829613851552
LP001018,1,1,2,1,0,4006,1526.0,168.0,360.0,1.0,1,1,5.123963979403259,8.295548516225763
LP001020,1,1,1,1,0,12841,10968.0,349.0,360.0,1.0,2,0,5.855071922202427,9.460398455831275
LP001024,1,1,2,1,0,3200,700.0,70.0,360.0,1.0,1,1,4.248495242049359,8.070906088787819
LP001027,1,1,2,1,0,2500,1840.0,109.0,360.0,1.0,1,1,4.6913478822291435,7.824046010856292
LP001028,1,1,2,1,0,3073,8106.0,200.0,360.0,1.0,1,1,5.298317366548036,8.030409562130485
LP001029,1,0,0,1,0,1853,2840.0,114.0,360.0,1.0,0,0,4.736198448394496,7.52456122628536
LP001030,1,1,2,1,0,1299,1086.0,17.0,120.0,1.0,1,1,2.833213344056216,7.1693500166706
LP001032,1,0,0,1,0,4950,0.0,125.0,360.0,1.0,1,1,4.8283137373023015,8.507142855562735
LP001034,1,0,1,0,0,3596,0.0,100.0,240.0,1.0,1,1,4.605170185988092,8.18757739559151
LP001036,0,0,0,1,0,3510,0.0,76.0,360.0,0.0,1,0,4.330733340286331,8.163371316459912
LP001038,1,1,0,0,0,4887,0.0,133.0,360.0,1.0,0,0,4.890349128221754,8.494333897270154
LP001041,1,1,0,1,0,2600,3500.0,115.0,360.0,1.0,1,1,4.74493212836325,7.8632667240095735
LP001043,1,1,0,0,0,7660,0.0,104.0,360.0,0.0,1,0,4.6443908991413725,8.943767262734637
LP001046,1,1,1,1,0,5955,5625.0,315.0,360.0,1.0,1,1,5.752572638825633,8.691986481789401
LP001047,1,1,0,0,0,2600,1911.0,116.0,360.0,0.0,2,0,4.7535901911063645,7.8632667240095735
LP001050,1,1,2,0,0,3365,1917.0,112.0,360.0,0.0,0,0,4.718498871295094,8.121183242078828
LP001052,1,1,1,1,0,3717,2925.0,151.0,360.0,1.0,2,0,5.017279836814924,8.220672170297252
LP001066,1,1,0,1,1,9560,0.0,191.0,360.0,1.0,2,1,5.25227342804663,9.165343006045447
LP001068,1,1,0,1,0,2799,2253.0,122.0,360.0,1.0,2,1,4.804021044733257,7.937017489515454
LP001073,1,1,2,0,0,4226,1040.0,110.0,360.0,1.0,1,1,4.700480365792417,8.349011198176003
LP001086,1,0,0,0,0,1442,0.0,35.0,360.0,1.0,1,0,3.5553480614894135,7.273786317844895
LP001087,0,0,2,1,0,3750,2083.0,120.0,360.0,1.0,2,1,4.787491742782046,8.229511118964457
LP001091,1,1,1,1,0,4166,3369.0,201.0,360.0,1.0,1,0,5.303304908059076,8.334711621820917
LP001095,1,0,0,1,0,3167,0.0,74.0,360.0,1.0,1,0,4.30406509320417,8.06054004653864
LP001097,1,0,1,1,1,4692,0.0,106.0,360.0,1.0,0,0,4.663439094112067,8.453614209773367
LP001098,1,1,0,1,0,3500,1667.0,114.0,360.0,1.0,2,1,4.736198448394496,8.160518247477505
LP001100,1,0,3,1,0,12500,3000.0,320.0,360.0,1.0,0,0,5.768320995793772,9.433483923290392
LP001106,1,1,0,1,0,2275,2067.0,146.41216216216216,360.0,1.0,1,1,4.986425672954842,7.729735331385051
LP001109,1,1,0,1,0,1828,1330.0,100.0,360.0,0.0,1,0,4.605170185988092,7.510977752014095
LP001112,0,1,0,1,0,3667,1459.0,144.0,360.0,1.0,2,1,4.969813299576001,8.207129168071326
LP001114,1,0,0,1,0,4166,7210.0,184.0,360.0,1.0,1,1,5.214935757608986,8.334711621820917
LP001116,1,0,0,0,0,3748,1668.0,110.0,360.0,1.0,2,1,4.700480365792417,8.228977643358313
LP001119,1,0,0,1,0,3600,0.0,80.0,360.0,1.0,1,0,4.382026634673881,8.1886891244442
LP001120,1,0,0,1,0,1800,1213.0,47.0,360.0,1.0,1,1,3.8501476017100584,7.495541943884256
LP001123,1,1,0,1,0,2400,0.0,75.0,360.0,1.0,1,1,4.31748811353631,7.783224016336037
LP001131,1,1,0,1,0,3941,2336.0,134.0,360.0,1.0,2,1,4.897839799950911,8.279189777195004
LP001136,1,1,0,0,1,4695,0.0,96.0,360.0,1.0,1,1,4.564348191467836,8.454253391642363
LP001137,0,0,0,1,0,3410,0.0,88.0,360.0,1.0,1,1,4.477336814478207,8.134467570277563
LP001138,1,1,1,1,0,5649,0.0,44.0,360.0,1.0,1,1,3.784189633918261,8.639233817325263
LP001144,1,1,0,1,0,5821,0.0,144.0,360.0,1.0,1,1,4.969813299576001,8.669227347271736
LP001146,0,1,0,1,0,2645,3440.0,120.0,360.0,0.0,1,0,4.787491742782046,7.8804263442924
LP001151,0,0,0,1,0,4000,2275.0,144.0,360.0,1.0,2,1,4.969813299576001,8.294049640102028
LP001155,0,1,0,0,0,1928,1644.0,100.0,360.0,1.0,2,1,4.605170185988092,7.564238475170491
LP001157,0,0,0,1,0,3086,0.0,120.0,360.0,1.0,2,1,4.787491742782046,8.034631032923107
LP001164,0,0,0,1,0,4230,0.0,112.0,360.0,1.0,2,0,4.718498871295094,8.349957272040324
LP001179,1,1,2,1,0,4616,0.0,134.0,360.0,1.0,1,0,4.897839799950911,8.437283808187935
LP001186,0,1,1,1,1,11500,0.0,286.0,360.0,0.0,1,0,5.655991810819852,9.350102314351341
LP001194,1,1,2,1,0,2708,1167.0,97.0,360.0,1.0,2,1,4.574710978503383,7.903965634032166
LP001195,1,1,0,1,0,2132,1591.0,96.0,360.0,1.0,2,1,4.564348191467836,7.664815785285735
