,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,ApplicantIncome_log,LoanAmount_log
0,LP001015,1,1,0,1,0,5720,0,110.0,360.0,1.0,1,5720,4.700480365792417
1,LP001022,1,1,1,1,0,3076,1500,126.0,360.0,1.0,1,3076,4.836281906951478
2,LP001031,1,1,2,1,0,5000,1800,208.0,360.0,1.0,1,5000,5.337538079701318
3,LP001035,1,1,2,1,0,2340,2546,100.0,360.0,1.0,1,2340,4.605170185988092
4,LP001051,1,0,0,0,0,3276,0,78.0,360.0,1.0,1,3276,4.356708826689592
5,LP001054,1,1,0,0,1,2165,3422,152.0,360.0,1.0,1,2165,5.0238805208462765
6,LP001055,0,0,1,0,0,2226,0,59.0,360.0,1.0,2,2226,4.07753744390572
7,LP001056,1,1,2,0,0,3881,0,147.0,360.0,0.0,0,3881,4.990432586778736
8,LP001059,1,1,2,1,0,13633,0,280.0,240.0,1.0,1,13633,5.634789603169249
9,LP001067,1,0,0,0,0,2400,2400,123.0,360.0,1.0,2,2400,4.812184355372417
10,LP001078,1,0,0,0,0,3091,0,90.0,360.0,1.0,1,3091,4.499809670330265
11,LP001082,1,1,1,1,0,2185,1516,162.0,360.0,1.0,2,2185,5.087596335232384
12,LP001083,1,0,3,1,0,4166,0,40.0,180.0,1.0,1,4166,3.6888794541139363
13,LP001094,1,1,2,1,0,12173,0,166.0,360.0,0.0,2,12173,5.111987788356544
14,LP001096,0,0,0,1,0,4666,0,124.0,360.0,1.0,2,4666,4.820281565605037
15,LP001099,1,0,1,1,0,5667,0,131.0,360.0,1.0,1,5667,4.875197323201151
16,LP001105,1,1,2,1,0,4583,2916,200.0,360.0,1.0,1,4583,5.298317366548036
17,LP001107,1,1,3,1,0,3786,333,126.0,360.0,1.0,2,3786,4.836281906951478
18,LP001108,1,1,0,1,0,9226,7916,300.0,360.0,1.0,1,9226,5.703782474656201
19,LP001115,1,0,0,1,0,1300,3470,100.0,180.0,1.0,2,1300,4.605170185988092
20,LP001121,1,1,1,0,0,1888,1620,48.0,360.0,1.0,1,1888,3.871201010907891
21,LP001124,0,0,3,0,0,2083,0,28.0,180.0,1.0,1,2083,3.332204510175204
22,LP001128,1,0,0,1,0,3909,0,101.0,360.0,1.0,1,3909,4.61512051684126
23,LP001135,0,0,0,0,0,3765,0,125.0,360.0,1.0,1,3765,4.8283137373023015
24,LP001149,1,1,0,1,0,5400,4380,290.0,360.0,1.0,1,5400,5.66988092298052
25,LP001153,1,0,0,1,0,0,24000,148.0,360.0,0.0,0,0,4.997212273764115
26,LP001163,1,1,2,1,0,4363,1250,140.0,360.0,1.0,1,4363,4.941642422609304
27,LP001169,1,1,0,1,0,7500,3750,275.0,360.0,1.0,1,7500,5.616771097666572
28,LP001174,1,1,0,1,0,3772,833,57.0,360.0,1.0,2,3772,4.04305126783455
29,LP001176,1,0,0,1,0,2942,2382,125.0,180.0,1.0,1,2942,4.8283137373023015
30,LP001177,0,0,0,0,0,2478,0,75.0,360.0,1.0,2,2478,4.31748811353631
31,LP001183,1,1,2,1,0,6250,820,192.0,360.0,1.0,1,6250,5.2574953720277815
32,LP001185,1,0,0,1,0,3268,1683,152.0,360.0,1.0,2,3268,5.0238805208462765
33,LP001187,1,1,0,1,0,2783,2708,158.0,360.0,1.0,1,2783,5.062595033026967
34,LP001190,1,1,0,1,0,2740,1541,101.0,360.0,1.0,1,2740,4.61512051684126
35,LP001203,1,0,0,1,0,3150,0,176.0,360.0,0.0,2,3150,5.170483995038151
36,LP001208,1,1,2,1,0,7350,4029,185.0,180.0,1.0,1,7350,5.220355825078324
37,LP001210,1,1,0,1,1,2267,2792,90.0,360.0,1.0,1,2267,4.499809670330265
38,LP001211,1,0,0,1,1,5833,0,116.0,360.0,1.0,1,5833,4.7535901911063645
39,LP001219,1,0,0,1,0,3643,1963,138.0,360.0,1.0,1,3643,4.927253685157205
40,LP001220,1,1,0,1,0,5629,818,100.0,360.0,1.0,1,5629,4.605170185988092
41,LP001221,0,0,0,1,0,3644,0,110.0,360.0,1.0,1,3644,4.700480365792417
42,LP001226,1,1,0,0,0,1750,2024,90.0,360.0,1.0,2,1750,4.499809670330265
43,LP001230,1,0,0,1,0,6500,2600,200.0,360.0,1.0,2,6500,5.298317366548036
44,LP001231,0,0,0,1,0,3666,0,84.0,360.0,1.0,1,3666,4.430816798843313
45,LP001232,1,1,0,1,0,4260,3900,185.0,360.0,1.0,1,4260,5.220355825078324
46,LP001237,1,1,0,0,0,4163,1475,162.0,360.0,1.0,1,4163,5.087596335232384
47,LP001242,1,0,0,0,0,2356,1902,108.0,360.0,1.0,2,2356,4.68213122712422
48,LP001268,1,0,0,1,0,6792,3338,187.0,360.0,1.0,1,6792,5.231108616854587
49,LP001270,1,1,3,0,1,8000,250,187.0,360.0,1.0,2,8000,5.231108616854587
50,LP001284,1,1,1,1,0,2419,1707,124.0,360.0,1.0,1,2419,4.820281565605037
51,LP001287,1,1,3,0,0,3500,833,120.0,360.0,1.0,2,3500,4.787491742782046
52,LP001291,1,1,1,1,0,3500,3077,160.0,360.0,1.0,2,3500,5.075173815233827
53,LP001298,1,1,2,1,0,4116,1000,30.0,180.0,1.0,1,4116,3.4011973816621555
54,LP001312,1,1,0,0,1,5293,0,92.0,360.0,1.0,1,5293,4.5217885770490405
55,LP001313,1,0,0,1,0,2750,0,130.0,360.0,0.0,1,2750,4.867534450455582
56,LP001317,0,0,0,0,0,4402,0,130.0,360.0,1.0,0,4402,4.867534450455582
57,LP001321,1,1,2,1,0,3613,3539,134.0,180.0,1.0,2,3613,4.897839799950911
58,LP001323,0,1,2,1,0,2779,3664,176.0,360.0,0.0,2,2779,5.170483995038151
59,LP001324,1,1,3,1,0,4720,0,90.0,180.0,1.0,2,4720,4.499809670330265
60,LP001332,1,1,0,0,0,2415,1721,110.0,360.0,1.0,2,2415,4.700480365792417
61,LP001335,1,1,0,1,1,7016,292,125.0,360.0,1.0,1,7016,4.8283137373023015
62,LP001338,0,0,2,1,0,4968,0,189.0,360.0,1.0,2,4968,5.241747015059643
63,LP001347,0,0,0,1,0,2101,1500,108.0,360.0,0.0,0,2101,4.68213122712422
64,LP001348,1,1,3,0,0,4490,0,125.0,360.0,1.0,1,4490,4.8283137373023015
65,LP001351,1,1,0,1,0,2917,3583,138.0,360.0,1.0,2,2917,4.927253685157205
66,LP001352,1,1,0,0,0,4700,0,135.0,360.0,0.0,2,4700,4.90527477843843
67,LP001358,1,1,0,1,0,3445,0,130.0,360.0,0.0,2,3445,4.867534450455582
68,LP001359,1,1,0,1,0,7666,0,187.0,360.0,1.0,2,7666,5.231108616854587
69,LP001361,1,1,0,1,0,2458,5105,188.0,360.0,0.0,0,2458,5.236441962829949
70,LP001366,0,0,0,1,0,3250,0,95.0,360.0,1.0,2,3250,4.553876891600541
71,LP001368,1,0,0,1,0,4463,0,65.0,360.0,1.0,2,4463,4.174387269895637
72,LP001375,1,1,1,1,0,4083,1775,139.0,60.0,1.0,1,4083,4.9344739331306915
73,LP001380,1,1,0,1,1,3900,2094,232.0,360.0,1.0,0,3900,5.44673737166631
74,LP001386,1,1,0,0,0,4750,3583,144.0,360.0,1.0,2,4750,4.969813299576001
75,LP001400,1,0,0,1,0,3583,3435,155.0,360.0,1.0,1,3583,5.043425116919247
76,LP001407,1,1,0,1,0,3189,2367,186.0,360.0,1.0,1,3189,5.225746673713202
77,LP001413,1,0,0,1,1,6356,0,50.0,360.0,1.0,0,6356,3.912023005428146
78,LP001415,1,1,1,1,0,3413,4053,136.13259668508286,360.0,1.0,2,3413,4.91362938638163
79,LP001419,0,1,0,1,0,7950,0,185.0,360.0,1.0,1,7950,5.220355825078324
80,LP001420,1,1,3,1,0,3829,1103,163.0,360.0,0.0,1,3829,5.093750200806762
81,LP001428,1,1,3,1,0,72529,0,360.0,360.0,1.0,1,72529,5.886104031450156
82,LP001445,1,1,2,0,0,4136,0,149.0,480.0,0.0,0,4136,5.003946305945459
83,LP001446,1,1,0,1,0,8449,0,257.0,360.0,1.0,0,8449,5.54907608489522
84,LP001450,1,1,0,1,0,4456,0,131.0,180.0,0.0,2,4456,4.875197323201151
85,LP001452,1,1,2,1,0,4635,8000,102.0,180.0,1.0,0,4635,4.624972813284271
86,LP001455,1,1,0,1,0,3571,1917,135.0,360.0,1.0,1,3571,4.90527477843843
87,LP001466,1,0,0,1,0,3066,0,95.0,360.0,1.0,2,3066,4.553876891600541
